"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 15 21:07:47 UTC 2026","Thu Jan 15 21:07:47 UTC 2026","10","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_get_all_teacher_admin",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[password_repeat]",""
"passed","Thu Jan 15 21:07:26 UTC 2026","Thu Jan 15 21:07:26 UTC 2026","8","tests.test_contract","test_grade_contract","TestGradeContract","","","test_create_grade_anonym",""
"passed","Thu Jan 15 21:07:53 UTC 2026","Thu Jan 15 21:07:53 UTC 2026","50","tests","test_grade_create","TestGrade","","","test_statistics_min_grade",""
"passed","Thu Jan 15 21:07:37 UTC 2026","Thu Jan 15 21:07:38 UTC 2026","109","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_fails_on_group_not_exists",""
"passed","Thu Jan 15 21:07:39 UTC 2026","Thu Jan 15 21:07:40 UTC 2026","158","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_fails_on_group_not_exists",""
"passed","Thu Jan 15 21:07:36 UTC 2026","Thu Jan 15 21:07:36 UTC 2026","9","tests.test_contract","test_group_contract","TestGroupContract","","","test_get_all_groups_admin",""
"passed","Thu Jan 15 21:07:27 UTC 2026","Thu Jan 15 21:07:28 UTC 2026","214","tests.test_contract","test_grade_contract","TestGradeContract","","","test_create_grade_fails_on_student_not_found",""
"passed","Thu Jan 15 21:07:21 UTC 2026","Thu Jan 15 21:07:22 UTC 2026","287","tests","test_auth","TestAuth","","","test_successful_user_registration_flow",""
"passed","Thu Jan 15 21:07:48 UTC 2026","Thu Jan 15 21:07:48 UTC 2026","60","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_delete_teacher_admin",""
"passed","Thu Jan 15 21:07:36 UTC 2026","Thu Jan 15 21:07:36 UTC 2026","3","tests.test_contract","test_group_contract","TestGroupContract","","","test_get_all_groups_anonym",""
"passed","Thu Jan 15 21:07:46 UTC 2026","Thu Jan 15 21:07:46 UTC 2026","166","tests.test_contract","test_student_contract","TestStudentContract","","","test_update_student_fails_on_email_taken",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","4","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_invalid_email",""
"passed","Thu Jan 15 21:07:54 UTC 2026","Thu Jan 15 21:07:54 UTC 2026","50","tests","test_grade_create","TestGrade","","","test_statistics_max_grade",""
"passed","Thu Jan 15 21:07:37 UTC 2026","Thu Jan 15 21:07:37 UTC 2026","62","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_admin",""
